Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Amazonas,Bagua,Aramango,36,Rural,Selva,1.07,20.0,6.07638032421853,6.07638032421853,6.07638032421853,15,39,11.0,9.0,6.0,6.0,4.0,23.7,0.0,0,538.3866666666667,-5.360575222222223,-78.44525300000002
2022,abr,Amazonas,Bagua,Bagua,11,Medio Bajo,Selva,1.5,20.0,0.0,0.0,0.0,10,28,9.0,5.0,4.0,4.0,1.0,17.5,0.0,0,460.77,-5.633590833333334,-78.53814133333333
2022,abr,Amazonas,Bagua,Imaza,33,Rural,Selva,1.0,0.0,1.85185185185185,1.85185185185185,1.85185185185185,15,79,24.0,22.0,15.0,11.0,5.0,26.7,0.0,0,250.88,-4.8744278888888894,-78.19821833333332
2022,abr,Amazonas,Bagua,Imaza,35,Rural,Selva,1.0,6.66666666666667,0.0,0.0,1.58730158730159,15,58,17.0,23.0,12.0,11.0,5.0,19.8,7.14285714285714,1,275.2933333333333,-5.057935888888889,-78.34169822222222
2022,abr,Amazonas,Chachapoyas,Chachapoyas,6,Medio Alto,Sierra Norte,1.5,10.0,0.0,0.0,0.0,10,35,10.0,13.0,8.0,7.0,6.0,16.5,11.1111111111111,1,2377.0399999999995,-6.2357233333333335,-77.86675016666666
2022,abr,Amazonas,Chachapoyas,La Jalca,3273,Rural,Sierra Norte,1.0,0.0,2.28174603174603,2.28174603174603,2.28174603174603,15,54,20.0,14.0,9.0,7.0,5.0,15.9,6.66666666666667,1,2544.373333333333,-6.532043888888889,-77.8143178888889
2022,abr,Amazonas,Rodriguez De Mendoza,Mariscal Benavides,58,Rural,Selva,1.27,6.66666666666667,2.7689594356261,2.7689594356261,2.7689594356261,15,51,12.0,18.0,13.0,13.0,6.0,20.8,7.14285714285714,1,1591.94,-6.386920999999999,-77.50236344444444
2022,abr,Amazonas,Utcubamba,Bagua Grande,17,Medio,Selva,1.64,10.0,0.0,0.0,0.0,13,39,11.0,12.0,9.0,7.0,3.0,16.7,0.0,0,469.1545454545454,-5.758659848484849,-78.43592469696969
2022,abr,Amazonas,Utcubamba,Bagua Grande,3260,Bajo,Selva,1.2,10.0,0.0,0.0,0.0,10,31,10.0,9.0,6.0,6.0,2.0,13.6,0.0,0,488.3199999999999,-5.760796833333333,-78.4319945
2022,abr,Amazonas,Utcubamba,Cajaruro,22,Medio Bajo,Selva,1.4,10.0,0.0,0.0,0.0,10,31,8.0,9.0,6.0,6.0,3.0,15.4,0.0,0,462.9700000000001,-5.737793666666667,-78.429204
